parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,600.0,Bi-weight 4000.0 width,12000,200,0.6,0.7937
alpha,0,0,876.92307692,Bi-weight 4000.0 width,12000,200,0.6,0.8004
alpha,0,0,1153.84615385,Bi-weight 4000.0 width,12000,200,0.6,0.7978
alpha,0,0,1430.76923077,Bi-weight 4000.0 width,12000,200,0.6,0.7847
alpha,0,0,1707.69230769,Bi-weight 4000.0 width,12000,200,0.6,0.7643
alpha,0,0,1984.61538462,Bi-weight 4000.0 width,12000,200,0.6,0.7339
alpha,0,0,2261.53846154,Bi-weight 4000.0 width,12000,200,0.6,0.6849
alpha,0,0,2538.46153846,Bi-weight 4000.0 width,12000,200,0.6,0.6245
alpha,0,0,2815.38461538,Bi-weight 4000.0 width,12000,200,0.6,0.5801
alpha,0,0,3092.30769231,Bi-weight 4000.0 width,12000,200,0.6,0.5575
alpha,0,0,3369.23076923,Bi-weight 4000.0 width,12000,200,0.6,0.5515
alpha,0,0,3646.15384615,Bi-weight 4000.0 width,12000,200,0.6,0.5536
alpha,0,0,3923.07692308,Bi-weight 4000.0 width,12000,200,0.6,0.5636
alpha,0,0,4200.0,Bi-weight 4000.0 width,12000,200,0.6,0.5786
alpha,0,0,4476.92307692,Bi-weight 4000.0 width,12000,200,0.6,0.5923
alpha,0,0,4753.84615385,Bi-weight 4000.0 width,12000,200,0.6,0.5969
alpha,0,0,5030.76923077,Bi-weight 4000.0 width,12000,200,0.6,0.5965
alpha,0,0,5307.69230769,Bi-weight 4000.0 width,12000,200,0.6,0.5998
alpha,0,0,5584.61538462,Bi-weight 4000.0 width,12000,200,0.6,0.6056
alpha,0,0,5861.53846154,Bi-weight 4000.0 width,12000,200,0.6,0.6163
alpha,0,0,6138.46153846,Bi-weight 4000.0 width,12000,200,0.6,0.6383
alpha,0,0,6415.38461538,Bi-weight 4000.0 width,12000,200,0.6,0.6655
alpha,0,0,6692.30769231,Bi-weight 4000.0 width,12000,200,0.6,0.6947
alpha,0,0,6969.23076923,Bi-weight 4000.0 width,12000,200,0.6,
alpha,0,0,7246.15384615,Bi-weight 4000.0 width,12000,200,0.6,
alpha,0,0,7523.07692308,Bi-weight 4000.0 width,12000,200,0.9,0.7375
alpha,0,0,7800.0,Bi-weight 4000.0 width,12000,200,0.9,0.7305
alpha,0,0,8076.92307692,Bi-weight 4000.0 width,12000,200,0.9,0.7229
alpha,0,0,8353.84615385,Bi-weight 4000.0 width,12000,200,0.9,0.7198
alpha,0,0,8630.76923077,Bi-weight 4000.0 width,12000,200,0.9,0.7267
alpha,0,0,8907.69230769,Bi-weight 4000.0 width,12000,200,0.9,0.7471
alpha,0,0,9184.61538462,Bi-weight 4000.0 width,12000,200,0.9,0.7805
alpha,0,0,9461.53846154,Bi-weight 4000.0 width,12000,200,0.9,0.8258
alpha,0,0,9738.46153846,Bi-weight 4000.0 width,12000,200,0.9,0.8773
alpha,0,0,10015.38461538,Bi-weight 4000.0 width,12000,200,0.9,0.9306
alpha,0,0,10292.30769231,Bi-weight 4000.0 width,12000,200,0.9,0.9795
alpha,0,0,10569.23076923,Bi-weight 4000.0 width,12000,200,0.9,1.0206
alpha,0,0,10846.15384615,Bi-weight 4000.0 width,12000,200,0.9,1.0477
alpha,0,0,11123.07692308,Bi-weight 4000.0 width,12000,200,0.9,1.061
alpha,0,0,11400.0,Bi-weight 4000.0 width,12000,200,0.9,1.0641
beta,0,0,600.0,Bi-weight 4000.0 width,12000,200,4.0,4.7113
beta,0,0,876.92307692,Bi-weight 4000.0 width,12000,200,4.0,4.9405
beta,0,0,1153.84615385,Bi-weight 4000.0 width,12000,200,4.0,5.1218
beta,0,0,1430.76923077,Bi-weight 4000.0 width,12000,200,4.0,5.2282
beta,0,0,1707.69230769,Bi-weight 4000.0 width,12000,200,4.0,5.2913
beta,0,0,1984.61538462,Bi-weight 4000.0 width,12000,200,4.0,5.2363
beta,0,0,2261.53846154,Bi-weight 4000.0 width,12000,200,4.0,4.9018
beta,0,0,2538.46153846,Bi-weight 4000.0 width,12000,200,4.0,4.3288
beta,0,0,2815.38461538,Bi-weight 4000.0 width,12000,200,4.0,3.8521
beta,0,0,3092.30769231,Bi-weight 4000.0 width,12000,200,4.0,3.5993
beta,0,0,3369.23076923,Bi-weight 4000.0 width,12000,200,4.0,3.5359
beta,0,0,3646.15384615,Bi-weight 4000.0 width,12000,200,4.0,3.5899
beta,0,0,3923.07692308,Bi-weight 4000.0 width,12000,200,4.0,3.737
beta,0,0,4200.0,Bi-weight 4000.0 width,12000,200,4.0,3.9516
beta,0,0,4476.92307692,Bi-weight 4000.0 width,12000,200,4.0,4.1738
beta,0,0,4753.84615385,Bi-weight 4000.0 width,12000,200,4.0,4.3006
beta,0,0,5030.76923077,Bi-weight 4000.0 width,12000,200,4.0,4.3607
beta,0,0,5307.69230769,Bi-weight 4000.0 width,12000,200,4.0,4.4523
beta,0,0,5584.61538462,Bi-weight 4000.0 width,12000,200,4.0,4.5117
beta,0,0,5861.53846154,Bi-weight 4000.0 width,12000,200,4.0,4.4755
beta,0,0,6138.46153846,Bi-weight 4000.0 width,12000,200,4.0,4.3587
beta,0,0,6415.38461538,Bi-weight 4000.0 width,12000,200,4.0,4.187
beta,0,0,6692.30769231,Bi-weight 4000.0 width,12000,200,4.0,4.0011
beta,0,0,6969.23076923,Bi-weight 4000.0 width,12000,200,4.0,
beta,0,0,7246.15384615,Bi-weight 4000.0 width,12000,200,4.0,
