parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,750.0,Bi-weight 3750.0 width,15000,200,0.8907,0.8951
alpha,0,0,1096.15384615,Bi-weight 3750.0 width,15000,200,0.7558,0.8404
alpha,0,0,1442.30769231,Bi-weight 3750.0 width,15000,200,0.6219,0.769
alpha,0,0,1788.46153846,Bi-weight 3750.0 width,15000,200,0.5219,
alpha,0,0,2134.61538462,Bi-weight 3750.0 width,15000,200,0.4804,
alpha,0,0,2480.76923077,Bi-weight 3750.0 width,15000,200,0.5076,0.7518
alpha,0,0,2826.92307692,Bi-weight 3750.0 width,15000,200,0.5968,
alpha,0,0,3173.07692308,Bi-weight 3750.0 width,15000,200,0.726,1.02
alpha,0,0,3519.23076923,Bi-weight 3750.0 width,15000,200,0.8636,1.1265
alpha,0,0,3865.38461538,Bi-weight 3750.0 width,15000,200,0.9758,1.1777
alpha,0,0,4211.53846154,Bi-weight 3750.0 width,15000,200,1.035,1.1734
alpha,0,0,4557.69230769,Bi-weight 3750.0 width,15000,200,1.0266,1.1173
alpha,0,0,4903.84615385,Bi-weight 3750.0 width,15000,200,0.9527,1.0096
alpha,0,0,5250.0,Bi-weight 3750.0 width,15000,200,0.8315,0.8678
alpha,0,0,5596.15384615,Bi-weight 3750.0 width,15000,200,0.6928,0.7354
alpha,0,0,5942.30769231,Bi-weight 3750.0 width,15000,200,0.5705,0.642
alpha,0,0,6288.46153846,Bi-weight 3750.0 width,15000,200,0.4948,
alpha,0,0,6634.61538462,Bi-weight 3750.0 width,15000,200,0.4842,
alpha,0,0,6980.76923077,Bi-weight 3750.0 width,15000,200,0.5414,
alpha,0,0,7326.92307692,Bi-weight 3750.0 width,15000,200,0.6522,0.725
alpha,0,0,7673.07692308,Bi-weight 3750.0 width,15000,200,0.7895,0.7996
alpha,0,0,8019.23076923,Bi-weight 3750.0 width,15000,200,0.9196,0.8573
alpha,0,0,8365.38461538,Bi-weight 3750.0 width,15000,200,1.0105,0.8864
alpha,0,0,8711.53846154,Bi-weight 3750.0 width,15000,200,1.0398,0.8741
alpha,0,0,9057.69230769,Bi-weight 3750.0 width,15000,200,1.0004,0.8319
alpha,0,0,9403.84615385,Bi-weight 3750.0 width,15000,200,0.902,0.7682
alpha,0,0,9750.0,Bi-weight 3750.0 width,15000,200,0.7687,0.7114
alpha,0,0,10096.15384615,Bi-weight 3750.0 width,15000,200,0.6332,0.6737
alpha,0,0,10442.30769231,Bi-weight 3750.0 width,15000,200,0.5289,0.6551
alpha,0,0,10788.46153846,Bi-weight 3750.0 width,15000,200,0.4814,0.6511
alpha,0,0,11134.61538462,Bi-weight 3750.0 width,15000,200,0.5023,0.6615
alpha,0,0,11480.76923077,Bi-weight 3750.0 width,15000,200,0.5864,0.7019
alpha,0,0,11826.92307692,Bi-weight 3750.0 width,15000,200,0.7133,0.7461
alpha,0,0,12173.07692308,Bi-weight 3750.0 width,15000,200,0.8515,0.8015
alpha,0,0,12519.23076923,Bi-weight 3750.0 width,15000,200,0.9674,0.8761
alpha,0,0,12865.38461538,Bi-weight 3750.0 width,15000,200,1.0322,0.9406
alpha,0,0,13211.53846154,Bi-weight 3750.0 width,15000,200,1.0302,0.966
alpha,0,0,13557.69230769,Bi-weight 3750.0 width,15000,200,0.9619,0.9438
alpha,0,0,13903.84615385,Bi-weight 3750.0 width,15000,200,0.8439,0.8847
alpha,0,0,14250.0,Bi-weight 3750.0 width,15000,200,0.7054,0.8007
beta,0,0,750.0,Bi-weight 3750.0 width,15000,200,4.0,4.3277
beta,0,0,1096.15384615,Bi-weight 3750.0 width,15000,200,4.0,4.3008
beta,0,0,1442.30769231,Bi-weight 3750.0 width,15000,200,4.0,4.1836
beta,0,0,1788.46153846,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,2134.61538462,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,2480.76923077,Bi-weight 3750.0 width,15000,200,4.0,3.9067
beta,0,0,2826.92307692,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,3173.07692308,Bi-weight 3750.0 width,15000,200,4.0,4.6665
beta,0,0,3519.23076923,Bi-weight 3750.0 width,15000,200,4.0,5.0537
beta,0,0,3865.38461538,Bi-weight 3750.0 width,15000,200,4.0,5.3866
beta,0,0,4211.53846154,Bi-weight 3750.0 width,15000,200,4.0,5.6094
beta,0,0,4557.69230769,Bi-weight 3750.0 width,15000,200,4.0,5.6721
beta,0,0,4903.84615385,Bi-weight 3750.0 width,15000,200,4.0,5.5036
beta,0,0,5250.0,Bi-weight 3750.0 width,15000,200,4.0,5.1079
beta,0,0,5596.15384615,Bi-weight 3750.0 width,15000,200,4.0,4.6282
beta,0,0,5942.30769231,Bi-weight 3750.0 width,15000,200,4.0,4.2463
beta,0,0,6288.46153846,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,6634.61538462,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,6980.76923077,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,7326.92307692,Bi-weight 3750.0 width,15000,200,4.0,3.9176
beta,0,0,7673.07692308,Bi-weight 3750.0 width,15000,200,4.0,4.1458
beta,0,0,8019.23076923,Bi-weight 3750.0 width,15000,200,4.0,4.364
beta,0,0,8365.38461538,Bi-weight 3750.0 width,15000,200,4.0,4.4769
beta,0,0,8711.53846154,Bi-weight 3750.0 width,15000,200,4.0,4.4133
beta,0,0,9057.69230769,Bi-weight 3750.0 width,15000,200,4.0,4.23
beta,0,0,9403.84615385,Bi-weight 3750.0 width,15000,200,4.0,3.9989
beta,0,0,9750.0,Bi-weight 3750.0 width,15000,200,4.0,3.9099
beta,0,0,10096.15384615,Bi-weight 3750.0 width,15000,200,4.0,4.0185
beta,0,0,10442.30769231,Bi-weight 3750.0 width,15000,200,4.0,4.3008
beta,0,0,10788.46153846,Bi-weight 3750.0 width,15000,200,4.0,4.4162
beta,0,0,11134.61538462,Bi-weight 3750.0 width,15000,200,4.0,4.1023
beta,0,0,11480.76923077,Bi-weight 3750.0 width,15000,200,4.0,3.7749
beta,0,0,11826.92307692,Bi-weight 3750.0 width,15000,200,4.0,3.529
beta,0,0,12173.07692308,Bi-weight 3750.0 width,15000,200,4.0,3.5361
beta,0,0,12519.23076923,Bi-weight 3750.0 width,15000,200,4.0,3.7818
beta,0,0,12865.38461538,Bi-weight 3750.0 width,15000,200,4.0,4.0669
beta,0,0,13211.53846154,Bi-weight 3750.0 width,15000,200,4.0,4.2774
beta,0,0,13557.69230769,Bi-weight 3750.0 width,15000,200,4.0,4.3773
beta,0,0,13903.84615385,Bi-weight 3750.0 width,15000,200,4.0,4.3825
beta,0,0,14250.0,Bi-weight 3750.0 width,15000,200,4.0,4.257
nu,0,0,750.0,Bi-weight 3750.0 width,15000,200,0.4978,0.4623
nu,0,0,1096.15384615,Bi-weight 3750.0 width,15000,200,0.4657,0.4525
nu,0,0,1442.30769231,Bi-weight 3750.0 width,15000,200,0.4338,0.4418
nu,0,0,1788.46153846,Bi-weight 3750.0 width,15000,200,0.41,
nu,0,0,2134.61538462,Bi-weight 3750.0 width,15000,200,0.4001,
nu,0,0,2480.76923077,Bi-weight 3750.0 width,15000,200,0.4066,0.436
nu,0,0,2826.92307692,Bi-weight 3750.0 width,15000,200,0.4278,
nu,0,0,3173.07692308,Bi-weight 3750.0 width,15000,200,0.4586,0.4831
nu,0,0,3519.23076923,Bi-weight 3750.0 width,15000,200,0.4913,0.5117
nu,0,0,3865.38461538,Bi-weight 3750.0 width,15000,200,0.518,0.5359
nu,0,0,4211.53846154,Bi-weight 3750.0 width,15000,200,0.5321,0.5473
nu,0,0,4557.69230769,Bi-weight 3750.0 width,15000,200,0.5301,0.542
nu,0,0,4903.84615385,Bi-weight 3750.0 width,15000,200,0.5126,0.5214
nu,0,0,5250.0,Bi-weight 3750.0 width,15000,200,0.4837,0.4934
nu,0,0,5596.15384615,Bi-weight 3750.0 width,15000,200,0.4507,0.4657
nu,0,0,5942.30769231,Bi-weight 3750.0 width,15000,200,0.4216,0.4435
nu,0,0,6288.46153846,Bi-weight 3750.0 width,15000,200,0.4035,
nu,0,0,6634.61538462,Bi-weight 3750.0 width,15000,200,0.401,
nu,0,0,6980.76923077,Bi-weight 3750.0 width,15000,200,0.4146,
nu,0,0,7326.92307692,Bi-weight 3750.0 width,15000,200,0.441,0.458
nu,0,0,7673.07692308,Bi-weight 3750.0 width,15000,200,0.4737,0.4811
nu,0,0,8019.23076923,Bi-weight 3750.0 width,15000,200,0.5047,0.5014
nu,0,0,8365.38461538,Bi-weight 3750.0 width,15000,200,0.5263,0.5109
nu,0,0,8711.53846154,Bi-weight 3750.0 width,15000,200,0.5333,0.508
nu,0,0,9057.69230769,Bi-weight 3750.0 width,15000,200,0.5239,0.4912
nu,0,0,9403.84615385,Bi-weight 3750.0 width,15000,200,0.5005,0.465
nu,0,0,9750.0,Bi-weight 3750.0 width,15000,200,0.4687,0.4388
nu,0,0,10096.15384615,Bi-weight 3750.0 width,15000,200,0.4365,0.418
nu,0,0,10442.30769231,Bi-weight 3750.0 width,15000,200,0.4117,0.4077
nu,0,0,10788.46153846,Bi-weight 3750.0 width,15000,200,0.4003,0.407
nu,0,0,11134.61538462,Bi-weight 3750.0 width,15000,200,0.4053,0.4163
nu,0,0,11480.76923077,Bi-weight 3750.0 width,15000,200,0.4253,0.4339
nu,0,0,11826.92307692,Bi-weight 3750.0 width,15000,200,0.4555,0.4574
nu,0,0,12173.07692308,Bi-weight 3750.0 width,15000,200,0.4885,0.4857
nu,0,0,12519.23076923,Bi-weight 3750.0 width,15000,200,0.516,0.5108
nu,0,0,12865.38461538,Bi-weight 3750.0 width,15000,200,0.5315,0.525
nu,0,0,13211.53846154,Bi-weight 3750.0 width,15000,200,0.531,0.527
nu,0,0,13557.69230769,Bi-weight 3750.0 width,15000,200,0.5147,0.5193
nu,0,0,13903.84615385,Bi-weight 3750.0 width,15000,200,0.4867,0.5071
nu,0,0,14250.0,Bi-weight 3750.0 width,15000,200,0.4537,0.4924
