parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,1000.0,Bi-weight 6666.7 width,20000,200,1.5248,1.2247
alpha,0,0,1620.68965517,Bi-weight 6666.7 width,20000,200,1.5401,1.2651
alpha,0,0,2241.37931034,Bi-weight 6666.7 width,20000,200,1.5555,1.3267
alpha,0,0,2862.06896552,Bi-weight 6666.7 width,20000,200,1.5708,1.4073
alpha,0,0,3482.75862069,Bi-weight 6666.7 width,20000,200,1.5862,1.494
alpha,0,0,4103.44827586,Bi-weight 6666.7 width,20000,200,1.6016,1.5756
alpha,0,0,4724.13793103,Bi-weight 6666.7 width,20000,200,1.6169,1.6347
alpha,0,0,5344.82758621,Bi-weight 6666.7 width,20000,200,1.6323,1.66
alpha,0,0,5965.51724138,Bi-weight 6666.7 width,20000,200,1.6477,1.6677
alpha,0,0,6586.20689655,Bi-weight 6666.7 width,20000,200,1.663,1.6646
alpha,0,0,7206.89655172,Bi-weight 6666.7 width,20000,200,1.6784,1.6666
alpha,0,0,7827.5862068999995,Bi-weight 6666.7 width,20000,200,1.6938,1.6705
alpha,0,0,8448.27586207,Bi-weight 6666.7 width,20000,200,1.7091,1.6778
alpha,0,0,9068.96551724,Bi-weight 6666.7 width,20000,200,1.7245,1.6791
alpha,0,0,9689.65517241,Bi-weight 6666.7 width,20000,200,1.7398,1.6824
alpha,0,0,10310.34482759,Bi-weight 6666.7 width,20000,200,1.7552,1.6878
alpha,0,0,10931.03448276,Bi-weight 6666.7 width,20000,200,1.7706,1.6852
alpha,0,0,11551.72413793,Bi-weight 6666.7 width,20000,200,1.7859,1.6719
alpha,0,0,12172.4137931,Bi-weight 6666.7 width,20000,200,1.8013,1.6475
alpha,0,0,12793.10344828,Bi-weight 6666.7 width,20000,200,1.8167,1.6072
alpha,0,0,13413.79310345,Bi-weight 6666.7 width,20000,200,1.8319999999999999,1.5528
alpha,0,0,14034.48275862,Bi-weight 6666.7 width,20000,200,1.8474,1.4757
alpha,0,0,14655.17241379,Bi-weight 6666.7 width,20000,200,1.1538,
alpha,0,0,15275.86206897,Bi-weight 6666.7 width,20000,200,1.1538,
alpha,0,0,15896.55172414,Bi-weight 6666.7 width,20000,200,1.1538,1.1644
alpha,0,0,16517.24137931,Bi-weight 6666.7 width,20000,200,1.1538,1.1116
alpha,0,0,17137.93103448,Bi-weight 6666.7 width,20000,200,1.1538,1.1091
alpha,0,0,17758.62068966,Bi-weight 6666.7 width,20000,200,1.1538,1.1249
alpha,0,0,18379.31034483,Bi-weight 6666.7 width,20000,200,1.1538,1.1291
alpha,0,0,19000.0,Bi-weight 6666.7 width,20000,200,1.1538,1.125
alpha,1,0,1000.0,Bi-weight 6666.7 width,20000,200,0.5347,0.5439
alpha,1,0,1620.68965517,Bi-weight 6666.7 width,20000,200,0.5562,0.5332
alpha,1,0,2241.37931034,Bi-weight 6666.7 width,20000,200,0.5777,0.5285
alpha,1,0,2862.06896552,Bi-weight 6666.7 width,20000,200,0.5992,0.5318
alpha,1,0,3482.75862069,Bi-weight 6666.7 width,20000,200,0.6207,0.5476
alpha,1,0,4103.44827586,Bi-weight 6666.7 width,20000,200,0.6422,0.5682
alpha,1,0,4724.13793103,Bi-weight 6666.7 width,20000,200,0.6637,0.5957
alpha,1,0,5344.82758621,Bi-weight 6666.7 width,20000,200,0.6852,0.6301
alpha,1,0,5965.51724138,Bi-weight 6666.7 width,20000,200,0.7067,0.6593
alpha,1,0,6586.20689655,Bi-weight 6666.7 width,20000,200,0.7282,0.695
alpha,1,0,7206.89655172,Bi-weight 6666.7 width,20000,200,0.7497,0.7381
alpha,1,0,7827.5862068999995,Bi-weight 6666.7 width,20000,200,0.7713,0.7734
alpha,1,0,8448.27586207,Bi-weight 6666.7 width,20000,200,0.7928,0.7903
alpha,1,0,9068.96551724,Bi-weight 6666.7 width,20000,200,0.8143,0.7948
alpha,1,0,9689.65517241,Bi-weight 6666.7 width,20000,200,0.8358,0.7986
alpha,1,0,10310.34482759,Bi-weight 6666.7 width,20000,200,0.8573,0.8064
alpha,1,0,10931.03448276,Bi-weight 6666.7 width,20000,200,0.8788,0.8223
alpha,1,0,11551.72413793,Bi-weight 6666.7 width,20000,200,0.9003,0.8358
alpha,1,0,12172.4137931,Bi-weight 6666.7 width,20000,200,0.9218,0.8373
alpha,1,0,12793.10344828,Bi-weight 6666.7 width,20000,200,0.9433,0.8278
alpha,1,0,13413.79310345,Bi-weight 6666.7 width,20000,200,0.9648,0.7929999999999999
alpha,1,0,14034.48275862,Bi-weight 6666.7 width,20000,200,0.9863,0.7247
alpha,1,0,14655.17241379,Bi-weight 6666.7 width,20000,200,0.3846,
alpha,1,0,15275.86206897,Bi-weight 6666.7 width,20000,200,0.3846,
alpha,1,0,15896.55172414,Bi-weight 6666.7 width,20000,200,0.3846,0.4184
alpha,1,0,16517.24137931,Bi-weight 6666.7 width,20000,200,0.3846,0.3531
alpha,1,0,17137.93103448,Bi-weight 6666.7 width,20000,200,0.3846,0.3336
alpha,1,0,17758.62068966,Bi-weight 6666.7 width,20000,200,0.3846,0.3405
alpha,1,0,18379.31034483,Bi-weight 6666.7 width,20000,200,0.3846,0.3478
alpha,1,0,19000.0,Bi-weight 6666.7 width,20000,200,0.3846,0.3564
alpha,0,1,1000.0,Bi-weight 6666.7 width,20000,200,0.5347,0.5051
alpha,0,1,1620.68965517,Bi-weight 6666.7 width,20000,200,0.5562,0.5169
alpha,0,1,2241.37931034,Bi-weight 6666.7 width,20000,200,0.5777,0.5434
alpha,0,1,2862.06896552,Bi-weight 6666.7 width,20000,200,0.5992,0.5865
alpha,0,1,3482.75862069,Bi-weight 6666.7 width,20000,200,0.6207,0.6364
alpha,0,1,4103.44827586,Bi-weight 6666.7 width,20000,200,0.6422,0.6784
alpha,0,1,4724.13793103,Bi-weight 6666.7 width,20000,200,0.6637,0.7108
alpha,0,1,5344.82758621,Bi-weight 6666.7 width,20000,200,0.6852,0.7279
